Al,23/02/2024,,,,,,,,,,
 ,,,,,,,,,,,
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
EQIX,EQUINIX REIT INC,Immobili,Azionario,"92.952.780,66","0,13","92.952.780,66","105.354,00","882,29",Stati Uniti,NASDAQ,USD
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumi Discrezionali,Azionario,"90.990.293,85","0,13","90.990.293,85","582.609,00","156,18",Svizzera,SIX Swiss Exchange,CHF
ITW,ILLINOIS TOOL INC,Industriali,Azionario,"90.710.712,69","0,13","90.710.712,69","348.713,00","260,13",Stati Uniti,New York Stock Exchange Inc.,USD
CP,CANADIAN PACIFIC KANSAS CITY LTD,Industriali,Azionario,"89.988.734,72","0,12","89.988.734,72","1.040.035,00","86,52",Canada,Toronto Stock Exchange,CAD
6501,HITACHI LTD,Industriali,Azionario,"89.954.564,45","0,12","89.954.564,45","1.050.936,00","85,59",Giappone,Tokyo Stock Exchange,JPY
4063,SHIN ETSU CHEMICAL LTD,Materiali,Azionario,"89.553.768,66","0,12","89.553.768,66","2.136.785,00","41,91",Giappone,Tokyo Stock Exchange,JPY
SHW,SHERWIN WILLIAMS,Materiali,Azionario,"89.427.086,94","0,12","89.427.086,94","277.698,00","322,03",Stati Uniti,New York Stock Exchange Inc.,USD
ICE,INTERCONTINENTAL EXCHANGE INC,Finanziari,Azionario,"89.048.221,90","0,12","89.048.221,90","643.505,00","138,38",Stati Uniti,New York Stock Exchange Inc.,USD
CME,CME GROUP INC CLASS A,Finanziari,Azionario,"88.702.745,28","0,12","88.702.745,28","406.968,00","217,96",Stati Uniti,NASDAQ,USD
CSX,CSX CORP,Industriali,Azionario,"87.662.779,82","0,12","87.662.779,82","2.287.054,00","38,33",Stati Uniti,NASDAQ,USD
ZURN,ZURICH INSURANCE GROUP AG,Finanziari,Azionario,"87.375.386,19","0,12","87.375.386,19","166.268,00","525,51",Svizzera,SIX Swiss Exchange,CHF
DTE,DEUTSCHE TELEKOM N AG,Comunicazione,Azionario,"87.250.296,36","0,12","87.250.296,36","3.643.326,00","23,95",Germania,Xetra,EUR
8058,MITSUBISHI CORP,Industriali,Azionario,"86.149.320,76","0,12","86.149.320,76","3.990.304,00","21,59",Giappone,Tokyo Stock Exchange,JPY
RMS,HERMES INTERNATIONAL,Consumi Discrezionali,Azionario,"85.948.267,14","0,12","85.948.267,14","34.517,00","2.490,02",Francia,Nyse Euronext - Euronext Paris,EUR
